feature,importance,std,source
HALSTEAD_EFFORT,0.03105590062111796,0.006804006925530027,permutation
HALSTEAD_PROG_TIME,0.03105590062111796,0.006804006925530027,permutation
DESIGN_COMPLEXITY,0.02111801242236021,0.014218041170508799,permutation
CALL_PAIRS,0.010559006211180144,0.0028463203074259934,permutation
ESSENTIAL_COMPLEXITY,0.0068322981366459755,0.0043478260869565305,permutation
GLOBAL_DATA_COMPLEXITY,0.00434782608695653,0.0028463203074259934,permutation
LOC_BLANK,0.0037267080745341684,0.004968944099378892,permutation
NUMBER_OF_LINES,0.003105590062111807,0.0031055900621118075,permutation
MODIFIED_CONDITION_COUNT,0.0006211180124223615,0.005159393703675833,permutation
DECISION_DENSITY,0.0,0.0,permutation
CYCLOMATIC_COMPLEXITY,0.0,0.005555448391303836,permutation
NUM_UNIQUE_OPERATORS,0.0,0.0,permutation
EDGE_COUNT,0.0,0.005555448391303836,permutation
NODE_COUNT,0.0,0.004811159436282515,permutation
MAINTENANCE_SEVERITY,0.0,0.0,permutation
LOC_COMMENTS,0.0,0.006804006925530027,permutation
HALSTEAD_LEVEL,0.0,0.0,permutation
HALSTEAD_LENGTH,0.0,0.0,permutation
DESIGN_DENSITY,0.0,0.0,permutation
NORMALIZED_CYLOMATIC_COMPLEXITY,-0.0006211180124223615,0.0018633540372670844,permutation
BRANCH_COUNT,-0.0006211180124223615,0.005859615609973057,permutation
MULTIPLE_CONDITION_COUNT,-0.001242236024844723,0.005414781296323828,permutation
NUM_OPERANDS,-0.001242236024844723,0.002484472049689446,permutation
GLOBAL_DATA_DENSITY,-0.001242236024844723,0.002484472049689446,permutation
ESSENTIAL_DENSITY,-0.001242236024844723,0.002484472049689446,permutation
CONDITION_COUNT,-0.001242236024844723,0.005414781296323828,permutation
LOC_CODE_AND_COMMENT,-0.001242236024844723,0.006085688801945796,permutation
HALSTEAD_DIFFICULTY,-0.0018633540372670842,0.0039770957996477395,permutation
DECISION_COUNT,-0.002484472049689446,0.004120030795472554,permutation
PARAMETER_COUNT,-0.002484472049689446,0.007453416149068338,permutation
PERCENT_COMMENTS,-0.003105590062111807,0.004166586293477877,permutation
NUM_OPERATORS,-0.004968944099378892,0.002484472049689446,permutation
NUM_UNIQUE_OPERANDS,-0.004968944099378892,0.004648021598476955,permutation
HALSTEAD_CONTENT,-0.004968944099378892,0.004648021598476955,permutation
HALSTEAD_ERROR_EST,-0.0068322981366459755,0.0033448228615742324,permutation
CYCLOMATIC_DENSITY,-0.0068322981366459755,0.005159393703675833,permutation
HALSTEAD_VOLUME,-0.007453416149068337,0.003726708074534169,permutation
LOC_EXECUTABLE,-0.008074534161490699,0.0039770957996477395,permutation
LOC_TOTAL,-0.009316770186335421,0.0031055900621118075,permutation
