feature,importance,std,source
LOC_BLANK,0.0,0.0,permutation
HALSTEAD_EFFORT,0.0,0.0,permutation
HALSTEAD_LENGTH,0.0,0.0,permutation
HALSTEAD_LEVEL,0.0,0.0,permutation
HALSTEAD_PROG_TIME,0.0,0.0,permutation
HALSTEAD_VOLUME,0.0,0.0,permutation
MAINTENANCE_SEVERITY,0.0,0.0,permutation
MODIFIED_CONDITION_COUNT,0.0,0.0,permutation
MULTIPLE_CONDITION_COUNT,0.0,0.0,permutation
NODE_COUNT,0.0,0.0,permutation
NORMALIZED_CYLOMATIC_COMPLEXITY,0.0,0.0,permutation
NUM_OPERANDS,0.0,0.0,permutation
NUM_OPERATORS,0.0,0.0,permutation
NUM_UNIQUE_OPERANDS,0.0,0.0,permutation
NUM_UNIQUE_OPERATORS,0.0,0.0,permutation
NUMBER_OF_LINES,0.0,0.0,permutation
PERCENT_COMMENTS,0.0,0.0,permutation
HALSTEAD_ERROR_EST,0.0,0.0,permutation
HALSTEAD_DIFFICULTY,0.0,0.0,permutation
BRANCH_COUNT,0.0,0.0,permutation
HALSTEAD_CONTENT,0.0,0.0,permutation
CALL_PAIRS,0.0,0.0,permutation
LOC_CODE_AND_COMMENT,0.0,0.0,permutation
LOC_COMMENTS,0.0,0.0,permutation
CONDITION_COUNT,0.0,0.0,permutation
CYCLOMATIC_COMPLEXITY,0.0,0.0,permutation
CYCLOMATIC_DENSITY,0.0,0.0,permutation
DECISION_COUNT,0.0,0.0,permutation
DECISION_DENSITY,0.0,0.0,permutation
DESIGN_COMPLEXITY,0.0,0.0,permutation
DESIGN_DENSITY,0.0,0.0,permutation
EDGE_COUNT,0.0,0.0,permutation
ESSENTIAL_COMPLEXITY,0.0,0.0,permutation
ESSENTIAL_DENSITY,0.0,0.0,permutation
LOC_EXECUTABLE,0.0,0.0,permutation
PARAMETER_COUNT,0.0,0.0,permutation
LOC_TOTAL,0.0,0.0,permutation
